Kernel  	  C	  eps	gamma  	  degree	  opt tol	  tr/val split	  train avg mse	  train std mse	  test avg mse	test std mse  	  train avg mae	  train std mae	  test avg mae	  test std mae
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.910649	              0	      0.990084	0.0           	       0.697544	              0	      0.742121	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.947473	              0	      1.01839 	0.0           	       0.782389	              0	      0.816774	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.677533	              0	      0.668043	0.0           	       0.647897	              0	      0.635691	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.846584	              0	      0.873749	0.0           	       0.784102	              0	      0.799604	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.737337	              0	      0.709299	0.0           	       0.677402	              0	      0.671167	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       1.3283  	              0	      1.4077  	0.0           	       1.00635 	              0	      1.04708 	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.733788	              0	      0.686701	0.0           	       0.679311	              0	      0.659986	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.59968 	              0	      1.67363 	0.0           	       1.10188 	              0	      1.12811 	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.10449 	              0	      1.06301 	0.0           	       0.883353	              0	      0.858442	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.652995	              0	      0.685833	0.0           	       0.626632	              0	      0.649396	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.19384 	              0	      1.15103 	0.0           	       0.963567	              0	      0.936389	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.728089	              0	      0.764886	0.0           	       0.681123	              0	      0.700048	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.803673	              0	      0.738738	0.0           	       0.747847	              0	      0.712773	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.931502	              0	      0.956618	0.0           	       0.660421	              0	      0.681959	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.91565 	              0	      0.889   	0.0           	       0.806704	              0	      0.787409	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.925945	              0	      0.911998	0.0           	       0.706682	              0	      0.696743	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.906214	              0	      0.898385	0.0           	       0.822946	              0	      0.827547	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.997797	              0	      0.905377	0.0           	       0.870778	              0	      0.81902 	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.00758 	              0	      0.957762	0.0           	       0.876243	              0	      0.847063	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.843936	              0	      0.868321	0.0           	       0.672025	              0	      0.688057	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.02931 	              0	      1.18248 	0.0           	       0.700796	              0	      0.761406	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.802524	              0	      0.793091	0.0           	       0.732478	              0	      0.72134 	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       1.41597 	              0	      1.4586  	0.0           	       1.04084 	              0	      1.06649 	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.93337 	              0	      1.01072 	0.0           	       0.81067 	              0	      0.842278	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.669744	              0	      0.756543	0.0           	       0.626765	              0	      0.672281	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.93375 	              0	      0.954092	0.0           	       0.828489	              0	      0.843124	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.17671 	              0	      1.20958 	0.0           	       0.953241	              0	      0.965094	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.771558	              0	      0.811944	0.0           	       0.702848	              0	      0.719263	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.904032	              0	      0.970573	0.0           	       0.80956 	              0	      0.843292	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.18768 	              0	      1.10542 	0.0           	       0.894239	              0	      0.858188	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.837996	              0	      0.748974	0.0           	       0.671936	              0	      0.623016	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.934014	              0	      0.928521	0.0           	       0.709393	              0	      0.718211	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.941122	              0	      1.00606 	0.0           	       0.713766	              0	      0.738418	             0
